Alexnet,Googlenet,vgg13,vgg19,Zfnet,Resnet50,vgg11,vgg16,Resnet101,Resnet152
0.028783651,0.823392928,0.802499652,0.853149116,0.031728771,0.771939635,0.907883823,0.910317659,0.706616998,0.798984468
0.05002325,0.958882093,0.893027008,0.937183738,0.030587472,0.786643922,0.941730201,0.938975036,0.686823666,0.918901742
0.222212642,0.982721806,0.968924999,0.905267477,0.027366094,0.951309323,0.930345953,0.9677912,0.904966176,0.955891967
0.481621772,0.985126913,0.980885506,0.955258191,0.149479732,0.970225036,0.987015724,0.974726498,0.89804846,0.932227314
0.657131255,0.986365676,0.992362201,0.981376767,0.46809122,0.960393429,0.985188186,0.989908338,0.724703968,0.977550387
0.792782962,0.989973366,0.990493357,0.979085386,0.643475711,0.988575816,0.949030459,0.988933325,0.980044186,0.948059201
0.861619473,0.990960896,0.995433569,0.978630424,0.744291008,0.985211909,0.99128592,0.994588554,0.993776023,0.857183039
0.900132239,0.987877011,0.995092332,0.976172805,0.800926983,0.99595356,0.996278584,0.992232203,0.989709616,0.990233362
0.889215589,0.996148586,0.997574925,0.997334898,0.872164905,0.995904863,0.99580735,0.995384812,0.992199659,0.992215931
0.92602706,0.9981637,0.98963207,0.993418515,0.884535372,0.989725828,0.996701121,0.996733606,0.996749878,0.989209592
0.933957338,0.998716176,0.997936189,0.997757435,0.916484177,0.998553693,0.998066187,0.991387129,0.99889493,0.987210751
0.969392538,0.997822404,0.996148586,0.994686067,0.950305521,0.999171197,0.9990412,0.997139871,0.999479949,0.983814359
0.971687615,0.999057472,0.987580776,0.998976231,0.950171769,0.99941498,0.998813689,0.998342454,0.998212457,0.997091115
0.982010543,0.998651206,0.998586178,0.998764932,0.965304852,0.997594893,0.997741163,0.996181071,0.998976231,0.998244941
0.982709289,0.999593735,0.996652365,0.998699963,0.972971439,0.995937347,0.997139871,0.998813689,0.998212457,0.997968674
0.98636198,0.99970746,0.999171197,0.998521209,0.976696551,0.999886274,0.999284983,0.999544978,0.999756217,0.997802436
0.9880808,0.999301195,0.999301195,0.999089956,0.97110635,0.999821246,0.999268711,0.999528706,0.999544978,0.998342454
0.988072038,0.999918759,0.999512494,0.999788761,0.977082849,0.999886274,0.996863604,0.999723732,0.999788761,0.998001158
0.991484642,0.999788761,0.996538639,0.998098671,0.984009385,0.999772489,0.999870002,0.999837518,0.99941498,0.998049915
0.987551987,0.997123659,0.99985373,0.999837518,0.986121953,0.999967515,0.998976231,0.997997403,0.999934971,0.998862445
0.992768466,0.999821246,0.999447465,0.998797476,0.985065639,1,0.999870002,0.992150962,0.999382496,0.998569965
0.99367851,0.99985373,0.999577463,0.999154985,0.991923451,0.999431252,0.999447465,0.999349952,0.999886274,0.998634934
0.994507253,0.999236226,0.999951243,0.999756217,0.993873477,0.999918759,0.996798635,0.998114944,0.996408582,0.998651206
0.996831119,0.999073684,0.999918759,0.999886274,0.986658216,0.998244941,0.999772489,0.999723732,0.999918759,0.99941498
0.996814847,0.99956125,0.999674976,0.999804974,0.992439687,0.999951243,0.999122441,0.999203742,0.99874872,0.999284983
