Alexnet,Googlenet,vgg13,vgg19,Zfnet,Resnet50,VGG11,VGG16,Resnet101,Resnet152
3.63519454,0.550097585,0.66070509,0.435569137,3.635281801,0.710849762,0.286387354,0.281569809,0.946165621,0.646082938
3.620886564,0.134788081,0.345054835,0.19041343,3.622737169,0.716710687,0.168001533,0.183604941,1.259484768,0.265849292
2.733071089,0.056847461,0.094558164,0.309094042,3.628658772,0.145865381,0.21290569,0.093820632,0.289309561,0.135938868
1.672434449,0.047178254,0.059700523,0.133379847,3.075314999,0.088852488,0.040291667,0.073212907,0.356287777,0.203378618
1.083219647,0.041947741,0.024299096,0.053524319,1.673516035,0.11956057,0.043137878,0.032086361,1.145699739,0.094461076
0.655595958,0.030247185,0.029225547,0.060721178,1.084226608,0.035604823,0.147440463,0.032021996,0.059059508,0.169075027
0.432005703,0.027586093,0.015075449,0.06163343,0.795192003,0.047610372,0.026173115,0.015625136,0.019840784,0.710083306
0.30840826,0.036930319,0.014286832,0.07343673,0.611097038,0.014096718,0.012169088,0.02254154,0.03154736,0.03761825
0.341032773,0.013147422,0.008703738,0.008125612,0.388850302,0.01323979,0.013326406,0.01358633,0.024364963,0.028745642
0.221734211,0.006877135,0.030610146,0.020077735,0.343316644,0.029528266,0.010725804,0.009787801,0.011452908,0.042015947
0.199786276,0.005851679,0.006629332,0.007045981,0.24723798,0.005675286,0.007582614,0.024101432,0.004430059,0.048146628
0.101855405,0.006587665,0.010914543,0.01505705,0.159938708,0.003680987,0.003764358,0.008857102,0.002753993,0.054498833
0.090413257,0.004089074,0.036267944,0.003691206,0.144726232,0.0029403,0.005029225,0.005331972,0.006464987,0.015586611
0.06163314,0.004904542,0.004590154,0.004363712,0.107381925,0.008632395,0.007460912,0.010809169,0.004010326,0.009024081
0.056501415,0.001954395,0.009707902,0.004157397,0.084683627,0.011614447,0.008085687,0.003907227,0.007685824,0.010405444
0.046530958,0.001487316,0.002152116,0.00465589,0.070245318,0.001064631,0.002482465,0.001723588,0.001633715,0.007284123
0.0405569,0.002405877,0.002175879,0.003040335,0.08580476,0.001507084,0.003327091,0.001681819,0.001829709,0.010169432
0.040165517,0.000811498,0.001525981,0.001077837,0.068461016,0.000938091,0.008994021,0.001186799,0.001349786,0.020210085
0.030453637,0.001091299,0.009228853,0.006543875,0.050793771,0.000932398,0.000697925,0.000863117,0.002049376,0.006374722
0.039836124,0.009000955,0.000771661,0.000546926,0.040103007,0.000682821,0.003284935,0.006788354,0.000719976,0.005932342
0.024601737,0.00068712,0.001850642,0.003572701,0.045019165,0.000208757,0.000770229,0.023585616,0.00179085,0.008134898
0.021763206,0.001064131,0.001437197,0.002708143,0.027515663,0.002191727,0.00185843,0.002061658,0.000711186,0.012018504
0.018508857,0.002202123,0.000373038,0.000868141,0.02028832,0.000515856,0.009765502,0.005804293,0.011798654,0.005171563
0.011395595,0.00280625,0.000519023,0.000609748,0.038810346,0.005016121,0.000872834,0.001184408,0.000501608,0.002145159
0.011012554,0.00159118,0.001004104,0.000699449,0.025036233,0.00045911,0.002605192,0.002244892,0.00462264,0.003108477
