Alexnet,Googlenet,vgg13,vgg19,Resnet50,VGG11,VGG16,Resnet101,Resnet152
1.529823661,1.192781925,0.760434031,0.701005697,0.82755363,0.773946345,0.779939234,0.701192498,0.800520122
1.098405838,0.719907999,0.470793515,0.48019436,0.562087595,0.492352515,0.580615044,0.375872195,0.404910415
0.986351371,0.503023982,0.288440317,0.262362421,0.27233538,0.27499634,0.272331268,0.253474891,0.20154351
0.924446642,0.39181602,0.318494439,0.186039582,0.130261853,0.198597819,0.144018352,0.124234103,0.1386085
0.765295208,0.250717014,0.251289278,0.13954258,0.092266917,0.134346157,0.116855234,0.090373755,0.102211662
0.579628468,0.153698936,0.085126087,0.088441864,0.078859746,0.09985514,0.123571917,0.071936138,0.055244554
0.589145005,0.092235252,0.046591382,0.049311318,0.039928511,0.08788012,0.046658244,0.041321427,0.036517642
0.453857005,0.057343248,0.050481763,0.039154265,0.025110433,0.058023188,0.033823159,0.036081295,0.022060705
0.417382091,0.03622134,0.032347631,0.063107371,0.015634155,0.017005954,0.027810929,0.019592347,0.013151485
0.36248517,0.025883984,0.013172822,0.044012606,0.014151423,0.012258739,0.026536208,0.018762451,0.012857658
0.242119506,0.017262671,0.01347348,0.045810267,0.00856925,0.01040034,0.039316822,0.012070537,0.010787006
0.205629304,0.016421506,0.014481146,0.023156565,0.021853462,0.011589628,0.031350423,0.009925917,0.00957624
0.203396872,0.014302601,0.014340947,0.028118175,0.006398685,0.005168812,0.02254854,0.008429229,0.004976088
0.137474582,0.015469173,0.010436807,0.013978262,0.001963877,0.005900504,0.031731326,0.004474667,0.00422202
0.093482025,0.006411023,0.027534839,0.02105213,0.005148051,0.002999302,0.016143253,0.003273359,0.002744357
0.091404118,0.0059718,0.002354185,0.004845658,0.00632354,0.004603192,0.014535156,0.004944876,0.003140863
0.0814014,0.005927856,0.001566562,0.008181076,0.014151704,0.002826151,0.096832208,0.001906223,0.005856205
0.10261663,0.003797746,0.002066709,0.039037805,0.001207473,0.002043193,0.016453335,0.004816351,0.005100599
0.054317962,0.002225044,0.011317164,0.014438615,0.002636075,0.009435511,0.007340444,0.002331837,0.005714896
0.055106491,0.003849001,0.006872827,0.006817298,0.001530806,0.005097291,0.002293439,0.002757197,0.004060482
0.043544792,0.004031306,0.004967984,0.002988416,0.007421965,0.001341407,0.001316078,0.007577927,0.002236084
0.036706477,0.002484795,0.002722889,0.005050792,0.001366931,0.000974616,0.00132756,0.003246011,0.001168571
0.027117733,0.002379672,0.003046462,0.00226865,0.001819734,0.00084468,0.000558854,0.0035759,0.000312995
0.033579204,0.003618561,0.000636435,0.002072772,0.0006039,0.006268978,0.000254363,0.00156823,0.000338277
0.02517237,0.002835182,0.000908333,0.001837431,0.001112264,0.009680958,0.00137318,0.000867224,0.000474733
