Alexnet,Googlenet,vgg13,vgg19,Resnet50,vgg11,vgg16,Resnet101,Resnet152
0.955713212,0.979361653,0.993906021,0.994523525,0.996327341,0.9944098,0.995141029,0.996506095,0.99735117
0.980137944,0.993089736,0.997757435,0.9990412,0.999301195,0.997367382,0.997903645,0.998618722,0.998959959
0.986264467,0.997156143,0.999349952,0.999788761,0.999756217,0.999496222,0.999317467,0.998472452,0.999934971
0.984440625,0.998293698,0.999788761,0.999967515,0.999870002,0.999886274,0.999918759,0.999496222,0.999934971
0.994832277,0.999203742,0.99985373,1,0.999918759,0.999967515,0.999967515,0.999967515,0.999199986
0.991009653,0.99956125,0.999902487,0.999983728,0.999918759,0.999983728,0.999951243,0.999934971,0.999934971
0.99143219,0.999788761,1,0.999983728,0.999674976,0.999918759,0.999983728,0.999610007,0.999951243
0.98933959,0.999837518,1,1,1,0.999983728,1,0.99985373,0.997984946
0.993317246,0.999674976,1,0.999951243,0.999756217,1,0.999983728,0.999821246,0.999983728
0.994019747,0.999934971,1,0.999967515,1,1,1,0.999870002,0.999723732
0.989173293,0.999918759,0.999447465,0.999967515,0.999951243,0.999951243,0.999902487,0.999804974,0.99956125
0.982579291,0.999967515,0.999983728,0.9981637,0.999382496,0.999967515,0.999983728,0.999951243,0.99970746
