Alexnet,Googlenet,vgg13,vgg19,Resnet50,VGG11,VGG16,Resnet101,Resnet152
0.132768035,0.091096036,0.022331944,0.017815469,0.019063447,0.020154268,0.017486578,0.017455889,0.014428303
0.059558026,0.035808466,0.00815958,0.004349414,0.005602398,0.008992515,0.008275929,0.006535009,0.006364801
0.043076292,0.01989766,0.0034321,0.001795925,0.003135515,0.003384812,0.003209714,0.005904863,0.002414292
0.049398202,0.01388358,0.002081346,0.000975017,0.002259831,0.001874519,0.000944675,0.003608291,0.002093049
0.020546757,0.0098386,0.001927697,0.000870157,0.001966776,0.001471557,0.000913512,0.001885183,0.004400867
0.031044394,0.007623891,0.001595184,0.000697751,0.002104532,0.001522872,0.001158113,0.001706869,0.001931285
0.028517446,0.006456938,0.001349699,0.000796255,0.002608342,0.001758629,0.001032604,0.002299882,0.001904143
0.034736283,0.005817363,0.001309645,0.00078196,0.001885592,0.001386856,0.000882964,0.00258828,0.007774019
0.023438113,0.006842046,0.001532685,0.001087502,0.003013934,0.001357155,0.001038938,0.002998217,0.002124254
0.023167768,0.005536174,0.001441109,0.001034412,0.002016358,0.001234814,0.00090556,0.00248812,0.003426983
0.03908398,0.005325365,0.003358734,0.000847214,0.002425925,0.001732177,0.001708521,0.003419615,0.003958054
0.056348745,0.005120344,0.0015214,0.006833729,0.005252449,0.001782069,0.001130353,0.003044083,0.003368976
