Alexnet,Googlenet,vgg13,vgg19,Zfnet,Resnet50,vgg11,vgg16,Resnet101,Resnet152
0.389271051,0.489134133,0.48178044,0.488843262,0.365995049,0.335955679,0.46103695,0.508333325,0.399319828,0.396872848
0.448074937,0.564164102,0.543262362,0.567577839,0.441478431,0.519122183,0.579179525,0.585874379,0.50321269,0.49415642
0.542487979,0.608483016,0.640280604,0.650427759,0.491375774,0.55312717,0.57566303,0.665327668,0.582867086,0.578811586
0.614185512,0.752164602,0.641653836,0.643891215,0.557824254,0.61828804,0.625201046,0.658598542,0.679585874,0.631498098
0.677061975,0.768882632,0.727322876,0.710934281,0.655017972,0.735271215,0.722890973,0.750932574,0.714215457,0.732392192
0.73041153,0.683021069,0.770444036,0.776488721,0.697394788,0.801197827,0.708624244,0.805873573,0.775320828,0.805420041
0.771530628,0.823254585,0.777494013,0.820238709,0.769421577,0.811943889,0.750226736,0.815751135,0.81563139,0.791230321
0.832819939,0.849311233,0.817680538,0.816893399,0.804380596,0.84867388,0.839489222,0.798750877,0.818305135,0.834043443
0.88166064,0.86881417,0.88711071,0.82037127,0.857905507,0.917389631,0.841491282,0.860917151,0.873378694,0.816311598
0.904949546,0.906434,0.87247175,0.867402434,0.884988844,0.869648337,0.854235113,0.842873096,0.878456593,0.934800684
0.921132803,0.909257412,0.853110075,0.88147676,0.935189962,0.943386376,0.877742112,0.893091202,0.910797417,0.929791272
0.957704544,0.904183745,0.908744037,0.92754966,0.946860075,0.932285249,0.924456716,0.903734565,0.949559391,0.949170113
0.96290642,0.919524312,0.910793126,0.939228296,0.937046587,0.975551844,0.933457375,0.904752672,0.961691499,0.953854442
0.976766765,0.926505804,0.943005621,0.927361369,0.966174722,0.988193035,0.95879966,0.90143311,0.983371854,0.983055294
0.98312372,0.891350091,0.946475029,0.953341067,0.97696358,0.993198156,0.974781811,0.946860075,0.988642216,0.966106236
0.98344028,0.966824949,0.958859563,0.954761267,0.9835729,0.99486655,0.960339665,0.97259587,0.987166345,0.968232393
0.988193035,0.962204814,0.962718189,0.970794857,0.984471262,0.996021569,0.967201412,0.952194571,0.988834679,0.990118086
0.993262291,0.968938231,0.971440792,0.972343445,0.989155531,0.996149898,0.972150922,0.966756523,0.98004365,0.985108674
0.990952253,0.981326997,0.944490075,0.970225871,0.988963068,0.992423892,0.992556453,0.966307342,0.986772776,0.995508194
0.996663272,0.971060038,0.986588836,0.974520922,0.991080582,0.995829046,0.968232393,0.973622561,0.991978943,0.994353175
0.995444059,0.990242124,0.992941499,0.984214604,0.995251536,0.997818291,0.989664614,0.980163455,0.993519008,0.996017277
0.997561574,0.992492318,0.99036622,0.966756523,0.993133962,0.997689962,0.98825717,0.99075973,0.993903995,0.994802356
0.997240782,0.985622048,0.988963068,0.988064706,0.992171466,0.997689962,0.985942841,0.980552733,0.988000512,0.994353175
0.994994879,0.976642728,0.985040247,0.982858539,0.995824814,0.998395801,0.986071229,0.992748976,0.995700717,0.998395801
0.997561574,0.989989758,0.987872183,0.980231881,0.995123208,0.998459935,0.995829046,0.98870635,0.996855736,0.997818291
