Alexnet,Googlenet,vgg13,vgg19,Zfnet,Resnet50,VGG11,VGG16,Resnet101,Resnet152
2.119533062,1.631363988,1.662913084,1.634027958,3.635281801,2.211662054,1.750771761,1.590471983,1.95147419,1.918680787
1.816980124,1.341913819,1.463165879,1.343918204,3.622737169,1.544598579,1.359903455,1.299673676,1.561768174,1.638653278
1.588279486,1.241671681,1.150841355,1.093218803,3.628658772,1.432634115,1.353878856,1.035579681,1.331751347,1.318815589
1.328402281,0.784570575,1.093366504,1.117916942,3.075314999,1.176649094,1.171126246,1.073595047,1.046342254,1.137304068
1.122857094,0.712352455,0.851353765,0.890174627,1.673516035,0.800892055,0.876162887,0.763210177,0.849019945,0.807154536
0.995086908,0.970441341,0.695440531,0.686095655,1.084226608,0.651675642,0.901296914,0.596941888,0.679479361,0.578644454
0.83874619,0.54402566,0.669707239,0.551776707,0.795192003,0.587423682,0.772013068,0.554046988,0.573919773,0.700049818
0.667977154,0.456508487,0.542042077,0.539913654,0.611097038,0.454645127,0.498412162,0.591335535,0.593272269,0.556302369
0.484121472,0.404595912,0.397363752,0.532904983,0.388850302,0.286063731,0.476053417,0.440301985,0.374874294,0.584090829
0.42967993,0.30357787,0.390451819,0.393144131,0.343316644,0.514145613,0.448717117,0.462349862,0.41269803,0.229272589
0.312524766,0.28112933,0.442163825,0.365869164,0.24723798,0.202651605,0.358987361,0.318453521,0.276378602,0.218257293
0.223027781,0.291498691,0.28286764,0.233150825,0.159938708,0.203821644,0.243766278,0.290179461,0.16917865,0.160479441
0.169389457,0.265955448,0.265523463,0.192731529,0.144726232,0.100808851,0.209647462,0.304988891,0.116149589,0.142608836
0.14024128,0.224241123,0.188446611,0.225798354,0.107381925,0.04329313,0.140596181,0.292128474,0.058950767,0.060458615
0.095484234,0.331968129,0.170476615,0.155091494,0.084683627,0.041454718,0.094173811,0.17310755,0.04473846,0.112310454
0.092394553,0.112796701,0.135857239,0.140523553,0.070245318,0.063944489,0.131435186,0.098000877,0.054926652,0.093492001
0.082690746,0.118773021,0.114565998,0.094140962,0.08580476,0.045475923,0.104348503,0.147517249,0.045256581,0.047887295
0.050030962,0.103457242,0.091516972,0.090823039,0.068461016,0.040315382,0.088503815,0.103817135,0.070044234,0.05043434
0.057974048,0.066997834,0.165038347,0.094469152,0.050793771,0.034027625,0.038063467,0.100744724,0.049064975,0.017878698
0.025413055,0.09888532,0.045388516,0.084192738,0.040103007,0.042205077,0.110108659,0.082241237,0.044308532,0.02582095
0.039339416,0.041374348,0.028108567,0.054713987,0.045019165,0.025332216,0.036621574,0.064971201,0.023247194,0.014313566
0.021657197,0.031469617,0.038746845,0.097009838,0.027515663,0.0386822,0.038411707,0.03402669,0.022382917,0.026420837
0.016891601,0.052958824,0.041157879,0.042395376,0.02028832,0.035636865,0.046618953,0.061145261,0.059812281,0.030063227
0.025888607,0.075840965,0.049743712,0.054277662,0.038810346,0.021741292,0.046546075,0.029648714,0.017017243,0.004806456
0.016088422,0.037375174,0.039555259,0.061938737,0.025036233,0.020949323,0.019578818,0.036006927,0.01205453,0.008722822
